80270	 2,3 	10	351
80040	 2,3 	10	348
80250	 2,3 	10	348
80210	 2,3 	10	346
80022	 2,3 	10	345
80050	 2,3 	10	343
80022	 2,3 	10	342
80210	 2,3 	10	340
80050	 2,3 	10	340
80022	 2,3 	10	340
80210	 2,3 	10	339
80020	 2,3 	10	338
80250	 2,3 	10	338
80010	 2,3 	10	337
80090	 2,3 	10	337
80020	 2,3 	10	335
80090	 2,3 	10	334
80090	 2,3 	10	334
80020	 2,3 	10	333
80020	 2,3 	10	333
80210	 2,3 	10	332
80010	 2,3 	10	332
80210	 2,3 	10	332
80010	 2,3 	10	332
80120	 2,3 	10	331
80030	 2,3 	10	331
80210	 2,3 	10	331
80210	 2,3 	10	330
80250	 2,3 	10	330
80022	 2,3 	10	329
80030	 2,3 	10	329
80030	 2,3 	10	329
80050	 2,3 	10	328
80050	 2,3 	10	327
80040	 2,3 	10	327
80210	 2,3 	10	325
80100	 2,3 	10	325
80250	 2,3 	10	324
80100	 2,3 	10	324
80120	 2,3 	10	323
80060	 2,3 	10	323
80020	 2,3 	10	323
80022	 2,3 	10	322
80030	 2,3 	10	322
80030	 2,3 	10	322
80020	 2,3 	10	322
80030	 2,3 	10	321
80042	 2,3 	10	321
80270	 2,3 	10	320
80120	 2,3 	10	320
80040	 2,3 	10	319
80030	 2,3 	10	319
80022	 2,3 	10	319
80050	 2,3 	10	319
80022	 2,3 	10	319
80270	 2,3 	10	317
80030	 2,3 	10	316
80050	 2,3 	10	316
80090	 2,3 	10	316
80120	 2,3 	10	316
80050	 2,3 	10	315
80210	 2,3 	10	314
80022	 2,3 	10	313
80040	 2,3 	10	313
80210	 2,3 	10	313
80100	 2,3 	10	313
80042	 2,3 	10	311
80043	 2,3 	10	310
80060	 2,3 	10	309
80090	 2,3 	10	308
80040	 2,3 	10	307
80022	 2,3 	10	306
80050	 2,3 	10	306
80090	 2,3 	10	305
80010	 2,3 	10	305
80100	 2,3 	10	305
80030	 2,3 	10	304
80210	 2,3 	10	303
80022	 2,3 	10	303
80270	 2,3 	10	303
80270	 2,3 	10	302
80010	 2,3 	10	301
80030	 2,3 	10	301
80250	 2,3 	10	301
80210	 2,3 	10	301
80020	 2,3 	10	300
80022	 2,3 	10	300
80120	 2,3 	10	299
80030	 2,3 	10	299
80120	 2,3 	10	299
80042	 2,3 	10	299
80210	 2,3 	10	299
80210	 2,3 	10	297
80120	 2,3 	10	296
80020	 2,3 	10	295
80210	 2,3 	10	294
80020	 2,3 	10	293
80090	 2,3 	10	293
80022	 2,3 	10	293
80020	 2,3 	10	293
80090	 2,3 	10	293
80210	 2,3 	10	293
80022	 2,3 	10	291
80100	 2,3 	10	291
80020	 2,3 	10	290
80040	 2,3 	10	290
80250	 2,3 	10	289
80210	 2,3 	10	288
80022	 2,3 	10	288
80210	 2,3 	10	288
